Code,Name,Zone,Latitude,Longitude
AL3,AV. ALIADOS,PRT1,41.14739209,-8.611428575
SBNT2,EST.S.BENTO,PRT1,41.14554575,-8.610891756
LPDZ,L.GO 1º DEZEMBRO,PRT1,41.14315223,-8.608979669
BTLH5,BATALHA,PRT1,41.14373993,-8.604041002
ESPL1,ESCARPA SERRA  PILAR,VNG1,41.13767802,-8.601360111
QSPL1,QUARTEL SRR. PILAR,VNG1,41.13752116,-8.605485135
JMRR1,JARDIM DO MORRO,VNG1,41.13537625,-8.608137423
GENT2,GENERAL TORRES,VNG1,41.13385667,-8.607626249
CMG3,CÂMARA DE GAIA,VNG1,41.13054142,-8.606593919
PDC,PÁDUA CORREIA,VNG1,41.1260517,-8.607236458
LGAV2,LGO. DOS AVIADORES,VNG1,41.12666538,-8.610281978
SRRS3,SOARES DOS REIS,VNG1,41.1228673,-8.611645793
DP5,D.PEDRO V,VNG1,41.12341386,-8.609325012
PREP2,PARQUE DA REPÚBLICA,VNG1,41.12444734,-8.605978462
MCB,MOCAMBIQUE,VNG1,41.12236443,-8.606162029
DJM1,D.JOÃO II (METRO),VNG1,41.11963518,-8.606404328
SO3,STO. OVÍDIO,VNG1,41.1158588,-8.606773256
CCC3,CLUBE CAÇADORES,VNG1,41.11497807,-8.60469208
CRVL1,CRAVEL,VNG1,41.114032,-8.602649438
RTP3,RTP,VNG1,41.11254613,-8.600483963
EBSR1,ESC. EB 2/3 S REIS,VNG1,41.11103226,-8.598556488
SRD1,SARDOAL,VNG1,41.10886322,-8.596088773
EMZ1,EGAS MONIZ,VNG2,41.10787221,-8.593986607
HSS1,HOSP. SANTOS SILVA,VNG2,41.10536329,-8.590921591
MV3,MONTE DA VIRGEM,VNG2,41.10357084,-8.58881406
SALM1,SALGUEIRO MAIA,VNG2,41.10147075,-8.589347057
MIM1,MIMOSAS,VNG2,41.09894126,-8.58917477
UVDE3,URB. VILA D''ESTE,VNG2,41.09698222,-8.588197081
UVDE1,URB. VILA D ESTE,VNG2,41.09761165,-8.588415684
